,City,Time,Country,Latitude,Longitude,Temperature,Humidity,Cloud Coverage,Wind Speed
1,Yoichi,1516393965,JP,43.19,140.77,21.94,100,32,3.83
2,Saint John,1516392000,CA,45.28,-66.06,23.0,79,75,5.82
3,Bokhan,1516393967,RU,53.15,103.77,-18.16,50,36,2.55
4,San Patricio,1516393968,PY,-26.98,-56.83,80.08,81,48,3.56
5,Cidreira,1516393969,BR,-30.17,-50.22,78.96,63,0,10.38
6,Lebu,1516393969,ET,8.96,38.73,39.9,84,0,3.04
7,Saint-Georges,1516393970,CA,46.12,-70.67,25.23,71,88,5.61
8,Sao Joao da Barra,1516392000,BR,-21.64,-41.05,87.8,52,0,16.11
9,Hobart,1516392000,AU,-42.88,147.33,59.0,87,75,3.36
10,Hilo,1516391820,US,19.71,-155.08,73.4,88,90,5.82
11,Suez,1516393974,EG,29.97,32.54,44.85,86,0,4.0
12,Hermanus,1516393975,ZA,-34.42,19.24,65.5,94,88,10.16
13,Quelimane,1516392000,MZ,-17.88,36.89,78.8,88,40,3.36
14,Torquay,1516393200,GB,50.47,-3.52,37.4,86,40,2.24
15,Vaini,1516393977,IN,15.34,74.49,60.33,72,0,2.48
16,Pangnirtung,1516392000,CA,66.15,-65.72,1.4,54,20,11.1
17,Tazovskiy,1516393978,RU,67.47,78.7,-44.66,0,36,3.22
18,Kapaa,1516391760,US,22.08,-159.32,77.0,83,90,14.99
19,Qaanaaq,1516393980,GL,77.48,-69.36,-8.3,94,0,6.13
20,Awjilah,1516393981,LY,29.14,21.3,43.05,75,20,5.91
21,Yellowknife,1516392000,CA,62.45,-114.38,8.6,84,90,6.93
22,Laguna,1516390980,MX,27.52,-110.01,80.6,22,5,6.93
23,Mataura,1516393984,NZ,-46.19,168.86,73.96,54,56,17.65
24,Cape Town,1516392000,ZA,-33.93,18.42,73.4,69,0,18.34
25,Aykhal,1516393985,RU,65.95,111.51,-57.44,0,8,4.27
26,Punta Arenas,1516392000,CL,-53.16,-70.91,64.4,59,40,32.21
27,Rikitea,1516393987,PF,-23.12,-134.97,79.05,100,68,9.15
28,New Norfolk,1516392000,AU,-42.78,147.06,59.0,87,75,3.36
29,Yellowknife,1516392000,CA,62.45,-114.38,8.6,84,90,6.93
30,Bredasdorp,1516392000,ZA,-34.53,20.04,71.6,78,92,18.34
31,Atuona,1516393989,PF,-9.8,-139.03,79.72,100,64,16.69
32,Bubaque,1516392000,GW,11.28,-15.83,80.6,34,0,4.7
33,Estelle,1516391700,US,32.87,-97.01,59.0,50,40,23.04
34,Iqaluit,1516392000,CA,63.75,-68.52,1.4,64,75,11.41
35,San Cristobal,1516392000,EC,-0.39,-78.55,60.8,63,75,14.99
36,Cherskiy,1516393993,RU,68.75,161.3,-29.99,50,0,4.38
37,Vardo,1516391700,US,39.62,-77.74,55.4,28,1,8.05
38,Ushuaia,1516392000,AR,-54.81,-68.31,66.2,62,40,32.21
39,Nome,1516392900,US,30.04,-94.42,60.8,62,1,10.29
40,Saint-Philippe,1516392600,CA,45.36,-73.48,28.4,86,90,8.05
41,Hobart,1516392000,AU,-42.88,147.33,59.0,87,75,3.36
42,Barrow,1516393971,AR,-38.31,-60.23,83.1,67,12,1.54
43,Blagoyevo,1516393998,RU,63.37,47.92,9.66,70,64,6.85
44,Severo-Kurilsk,1516393999,RU,50.68,156.12,29.73,100,88,18.66
45,Jamestown,1516393794,AU,-33.21,138.6,70.86,76,24,2.37
46,Peresichna,1516393020,UA,50.02,35.98,23.0,92,90,6.71
47,Ushuaia,1516392000,AR,-54.81,-68.31,66.2,62,40,32.21
48,Khatanga,1516394002,RU,71.98,102.47,-27.7,45,64,15.41
49,Ushuaia,1516392000,AR,-54.81,-68.31,66.2,62,40,32.21
50,Jamestown,1516393794,AU,-33.21,138.6,70.86,76,24,2.37
51,Bredasdorp,1516392000,ZA,-34.53,20.04,71.6,78,92,18.34
52,Punta Arenas,1516392000,CL,-53.16,-70.91,64.4,59,40,32.21
53,Washougal,1516391580,US,45.58,-122.35,48.2,70,75,12.75
54,Mataura,1516393984,NZ,-46.19,168.86,73.96,54,56,17.65
55,Atuona,1516393989,PF,-9.8,-139.03,79.72,100,64,16.69
56,Brody,1516394006,UA,50.08,25.14,27.75,89,12,13.85
57,Palimbang,1516392000,PH,14.9,120.78,77.0,83,75,2.24
58,Mariental,1516393200,DE,52.28,10.99,35.6,100,90,6.93
59,Khatanga,1516394002,RU,71.98,102.47,-27.7,45,64,15.41
60,Mataura,1516393984,NZ,-46.19,168.86,73.96,54,56,17.65
61,Nador,1516392000,MA,35.17,-2.93,53.6,100,20,2.24
62,Hilo,1516391820,US,19.71,-155.08,73.4,88,90,5.82
63,Hermanus,1516393975,ZA,-34.42,19.24,65.5,94,88,10.16
64,Atuona,1516393989,PF,-9.8,-139.03,79.72,100,64,16.69
65,Codrington,1516394011,AU,-28.95,153.24,63.61,87,0,5.23
66,Pisco,1516392000,PE,-13.71,-76.2,78.8,61,0,12.75
67,Biu,1516394012,NG,10.61,12.19,59.65,35,0,6.8
68,Ponta do Sol,1516394013,BR,-20.63,-46.0,88.23,27,12,4.79
69,Salinopolis,1516394014,BR,-0.61,-47.36,79.63,100,80,11.1
70,Barrow,1516393971,AR,-38.31,-60.23,83.1,67,12,1.54
71,Marzuq,1516394016,YE,14.4,46.47,39.58,85,0,2.33
72,Sao Filipe,1516394016,CV,14.9,-24.5,71.62,94,0,18.14
73,Hermanus,1516393975,ZA,-34.42,19.24,65.5,94,88,10.16
74,Sao Jose da Coroa Grande,1516394017,BR,-8.9,-35.15,78.91,83,44,8.59
75,Vagur,1516394018,FO,61.47,-6.81,40.48,100,80,3.27
76,Maragogi,1516394019,BR,-9.01,-35.22,78.91,83,44,8.59
77,Abu Samrah,1516394020,SY,35.3,37.18,38.46,87,0,10.65
78,Ponta do Sol,1516394013,BR,-20.63,-46.0,88.23,27,12,4.79
79,Stykkisholmur,1516394021,IS,65.08,-22.73,30.13,100,8,17.09
80,Mataura,1516393984,NZ,-46.19,168.86,73.96,54,56,17.65
81,Vaini,1516393977,IN,15.34,74.49,60.33,72,0,2.48
82,Iqaluit,1516392000,CA,63.75,-68.52,1.4,64,75,11.41
83,Windsor,1516393020,US,42.3,-83.03,37.4,59,1,12.75
84,Jinchang,1516394023,CN,38.52,102.19,3.76,50,0,4.9
85,Jamestown,1516393794,AU,-33.21,138.6,70.86,76,24,2.37
86,Vieira de Leiria,1516392000,PT,39.87,-8.94,50.0,93,0,5.82
87,Yatou,1516392000,CM,3.63,9.81,80.6,94,20,12.77
88,Rosarito,1516392000,CO,4.91,-75.23,77.0,94,75,10.29
89,Ancud,1516394027,CL,-41.87,-73.83,71.8,73,36,7.81
90,Paita,1516392000,PE,-5.09,-81.11,86.0,55,0,13.87
91,Hilo,1516391820,US,19.71,-155.08,73.4,88,90,5.82
92,Havre-Saint-Pierre,1516392000,CA,50.23,-63.6,8.6,60,20,4.7
93,Puerto Madryn,1516394029,AR,-42.77,-65.04,78.78,53,24,9.15
94,Faanui,1516394030,PF,-16.48,-151.75,82.96,100,64,19.37
95,Avarua,1516392000,CK,-21.21,-159.78,84.2,70,75,13.87
96,Xining,1516394032,CN,36.62,101.77,19.78,19,24,7.07
97,Jamestown,1516393794,AU,-33.21,138.6,70.86,76,24,2.37
98,Mar del Plata,1516393925,AR,-46.43,-67.52,91.06,29,0,13.29
99,Longyearbyen,1516391400,NO,78.22,15.63,28.4,68,40,21.92
100,Rikitea,1516393987,PF,-23.12,-134.97,79.05,100,68,9.15
101,Blind River,1516392900,CA,46.19,-82.96,33.8,74,40,5.82
102,Busselton,1516394037,AU,-33.64,115.35,66.94,100,0,18.7
103,Busselton,1516394037,AU,-33.64,115.35,66.94,100,0,18.7
104,Dingle,1516394038,PH,11.0,122.67,76.03,93,32,7.74
105,Banda Aceh,1516394039,ID,5.56,95.32,71.89,100,12,3.22
106,Havoysund,1516393200,NO,71.0,24.66,23.0,67,75,26.4
107,Kenai,1516391760,US,60.55,-151.26,24.8,100,90,8.05
108,Cintalapa,1516394041,MX,16.7,-93.73,66.04,82,48,6.51
109,Vaini,1516393977,IN,15.34,74.49,60.33,72,0,2.48
110,Kapaa,1516391760,US,22.08,-159.32,77.0,83,90,14.99
111,Albany,1516391640,US,42.65,-73.75,28.4,63,90,3.49
112,Saint George,1516391400,GR,39.45,22.34,42.8,81,0,4.7
113,Ushuaia,1516392000,AR,-54.81,-68.31,66.2,62,40,32.21
114,Saint-Philippe,1516392600,CA,45.36,-73.48,28.4,86,90,8.05
115,Slave Lake,1516392000,CA,55.28,-114.77,33.8,74,75,11.41
116,Okhotsk,1516394046,RU,59.36,143.24,-17.08,100,68,10.94
117,Isangel,1516394047,VU,-19.55,169.27,80.17,100,92,15.68
118,Gobabis,1516392000,NA,-22.45,18.97,80.6,39,92,5.82
119,Nsunga,1516394048,TZ,-1.13,31.39,66.0,79,44,1.03
120,Takoradi,1516394048,GH,4.89,-1.75,80.98,98,0,7.25
121,Punta Arenas,1516392000,CL,-53.16,-70.91,64.4,59,40,32.21
122,Nouadhibou,1516392000,MR,20.93,-17.03,66.2,59,20,19.46
123,Beipiao,1516394050,CN,41.8,120.76,4.66,59,0,6.06
124,Bogovarovo,1516394051,RU,58.98,47.02,6.82,79,48,6.4
125,Provideniya,1516394052,RU,64.42,-173.23,5.7,100,0,3.0
126,Alugan,1516394052,PH,12.22,125.48,77.25,100,92,11.1
127,Kodar,1516394053,IN,16.98,79.97,60.51,89,0,2.82
128,Puerto Ayora,1516392000,EC,-0.74,-90.35,84.2,54,20,20.8
129,Tiksi,1516394055,RU,71.64,128.87,-31.52,53,80,13.33
130,Sao Filipe,1516394016,CV,14.9,-24.5,71.62,94,0,18.14
131,Palana,1516394056,RU,59.08,159.95,-12.98,59,68,2.26
132,Comodoro Rivadavia,1516392000,AR,-45.87,-67.48,95.0,28,0,17.22
133,Bluff,1516394058,AU,-23.58,149.07,71.35,62,48,4.38
134,Mahebourg,1516392000,MU,-20.41,57.7,78.8,83,20,5.57
135,Manali,1516394060,IN,32.25,77.19,-25.04,21,0,1.25
136,Atuona,1516393989,PF,-9.8,-139.03,79.72,100,64,16.69
137,Amahai,1516394061,ID,-3.31,129.0,81.48,100,64,3.89
138,Basco,1516392900,US,40.33,-91.2,48.2,45,1,16.11
139,Hami,1516394062,CN,42.84,93.51,2.05,55,8,3.11
140,Port Elizabeth,1516391760,US,39.31,-74.98,48.2,36,1,14.99
141,Cape Town,1516392000,ZA,-33.93,18.42,73.4,69,0,18.34
142,Arraial do Cabo,1516392000,BR,-22.97,-42.02,86.0,62,0,6.93
143,Rikitea,1516393987,PF,-23.12,-134.97,79.05,100,68,9.15
144,Butaritari,1516394066,KI,3.07,172.79,83.73,97,80,20.94
145,Sikandarpur,1516394066,IN,26.04,84.05,48.4,87,0,2.33
146,Komsomolskiy,1516394067,RU,67.55,63.78,-13.79,64,0,8.63
147,Ponta do Sol,1516394013,BR,-20.63,-46.0,88.23,27,12,4.79
148,Wanxian,1516393781,CN,30.8,108.39,38.86,97,80,2.21
149,Bethel,1516391580,US,60.79,-161.76,3.2,71,20,21.92
150,Varhaug,1516393200,NO,58.61,5.65,33.8,100,75,9.17
151,Hearst,1516394072,CA,49.69,-83.67,31.75,88,92,5.84
152,Kaitangata,1516394073,NZ,-46.28,169.85,72.75,59,68,18.32
153,Adrar,1516392000,DZ,27.87,-0.29,57.2,19,0,12.75
154,New Norfolk,1516392000,AU,-42.78,147.06,59.0,87,75,3.36
155,Rikitea,1516393987,PF,-23.12,-134.97,79.05,100,68,9.15
156,Homer,1516391580,US,59.64,-151.54,30.2,92,75,8.86
157,Naifaru,1516394076,MV,5.44,73.37,80.53,100,92,9.93
158,Rikitea,1516393987,PF,-23.12,-134.97,79.05,100,68,9.15
159,Cap-Haitien,1516392000,HT,19.76,-72.2,78.8,74,75,11.41
160,Atuona,1516393989,PF,-9.8,-139.03,79.72,100,64,16.69
161,Port Elizabeth,1516391760,US,39.31,-74.98,48.2,36,1,14.99
162,Opuwo,1516394078,NA,-18.06,13.84,65.77,85,24,3.0
163,Norman Wells,1516392000,CA,65.28,-126.83,14.0,85,75,4.38
164,Longyearbyen,1516391400,NO,78.22,15.63,28.4,68,40,21.92
165,Busselton,1516394037,AU,-33.64,115.35,66.94,100,0,18.7
166,Punta Arenas,1516392000,CL,-53.16,-70.91,64.4,59,40,32.21
167,Carnarvon,1516394081,ZA,-30.97,22.13,65.59,63,0,14.12
168,Punta Arenas,1516392000,CL,-53.16,-70.91,64.4,59,40,32.21
169,Van,1516392120,TR,38.51,43.37,37.4,69,75,13.87
170,Hilo,1516391820,US,19.71,-155.08,73.4,88,90,5.82
171,Busselton,1516394037,AU,-33.64,115.35,66.94,100,0,18.7
172,Khatanga,1516394002,RU,71.98,102.47,-27.7,45,64,15.41
173,Te Anau,1516394084,NZ,-45.41,167.72,66.31,68,8,12.17
174,Puerto Ayora,1516392000,EC,-0.74,-90.35,84.2,54,20,20.8
175,Bilma,1516394085,NE,18.69,12.92,54.66,57,0,3.83
176,Hamilton,1516391700,BM,32.3,-64.78,64.4,59,75,17.22
177,Severo-Kurilsk,1516393999,RU,50.68,156.12,29.73,100,88,18.66
178,Asyut,1516392000,EG,27.18,31.19,50.0,66,0,5.82
179,Lahat,1516394088,ID,-3.78,103.55,73.2,93,76,2.82
180,Punta Arenas,1516392000,CL,-53.16,-70.91,64.4,59,40,32.21
181,Gravdal,1516393200,NO,59.79,5.78,33.8,100,75,14.99
182,Bethel,1516391580,US,60.79,-161.76,3.2,71,20,21.92
183,Mataura,1516393984,NZ,-46.19,168.86,73.96,54,56,17.65
184,Lebu,1516393969,ET,8.96,38.73,39.9,84,0,3.04
185,Petropavlovsk-Kamchatskiy,1516392000,RU,53.05,158.65,17.6,67,75,11.18
186,Yellowknife,1516392000,CA,62.45,-114.38,8.6,84,90,6.93
187,Hamilton,1516391700,BM,32.3,-64.78,64.4,59,75,17.22
188,Gerash,1516392000,IR,27.67,54.14,42.8,60,0,2.21
189,Kapaa,1516391760,US,22.08,-159.32,77.0,83,90,14.99
190,Ust-Nera,1516394094,RU,64.57,143.24,-63.29,0,12,1.7
191,Yellowknife,1516392000,CA,62.45,-114.38,8.6,84,90,6.93
192,Rikitea,1516393987,PF,-23.12,-134.97,79.05,100,68,9.15
193,Jamestown,1516393794,AU,-33.21,138.6,70.86,76,24,2.37
194,Busselton,1516394037,AU,-33.64,115.35,66.94,100,0,18.7
195,Bethel,1516391580,US,60.79,-161.76,3.2,71,20,21.92
196,Hokitika,1516394097,NZ,-42.72,170.96,65.91,98,56,3.89
197,Broome,1516393200,GB,52.47,1.45,37.4,93,20,13.87
198,Hermanus,1516393975,ZA,-34.42,19.24,65.5,94,88,10.16
199,Ballina,1516388400,IE,54.11,-9.15,33.8,93,75,6.93
200,Half Moon Bay,1516391760,US,37.46,-122.43,57.2,62,1,6.93
201,Puerto Ayora,1516392000,EC,-0.74,-90.35,84.2,54,20,20.8
202,Baruun-Urt,1516394100,MN,46.68,113.28,-21.31,28,0,7.58
203,Iquitos,1516393260,PE,-3.75,-73.25,73.4,94,90,9.17
204,Rio Gallegos,1516392000,AR,-51.62,-69.22,78.8,31,75,25.28
205,Lompoc,1516391760,US,34.64,-120.46,60.8,67,75,10.29
206,Nenjiang,1516394103,CN,49.17,125.23,-11.81,56,24,11.54
207,Bambous Virieux,1516392000,MU,-20.34,57.76,78.8,83,20,5.57
208,Bredasdorp,1516392000,ZA,-34.53,20.04,71.6,78,92,18.34
209,Boyle,1516388400,IE,53.97,-8.3,33.8,93,75,6.93
210,Kapaa,1516391760,US,22.08,-159.32,77.0,83,90,14.99
211,Thompson,1516392000,CA,55.74,-97.86,1.4,77,75,10.29
212,Shingu,1516394107,JP,33.72,135.99,49.66,100,0,8.3
213,Touros,1516394108,BR,-5.2,-35.46,80.44,83,80,11.95
214,Cape Town,1516392000,ZA,-33.93,18.42,73.4,69,0,18.34
215,Port Alfred,1516393962,ZA,-33.59,26.89,73.87,93,92,5.28
216,Hilo,1516391820,US,19.71,-155.08,73.4,88,90,5.82
217,Nizhniy Tsasuchey,1516394110,RU,50.52,115.13,-18.47,50,0,11.16
218,Barrow,1516393971,AR,-38.31,-60.23,83.1,67,12,1.54
219,Faanui,1516394030,PF,-16.48,-151.75,82.96,100,64,19.37
220,Nikolskoye,1516392000,RU,59.7,30.79,24.8,92,75,6.71
221,Busselton,1516394037,AU,-33.64,115.35,66.94,100,0,18.7
222,Ribeira Grande,1516392000,PT,38.52,-28.7,62.6,77,75,11.41
223,Necochea,1516394113,AR,-38.55,-58.74,80.08,76,0,3.89
224,Shu,1516394114,KZ,43.6,73.76,11.68,55,0,2.82
225,Vaini,1516393977,IN,15.34,74.49,60.33,72,0,2.48
226,Rikitea,1516393987,PF,-23.12,-134.97,79.05,100,68,9.15
227,Conceicao do Araguaia,1516388400,BR,-8.26,-49.26,98.6,44,40,4.56
228,Kapaa,1516391760,US,22.08,-159.32,77.0,83,90,14.99
229,Bredasdorp,1516392000,ZA,-34.53,20.04,71.6,78,92,18.34
230,Castro,1516393889,CL,-42.48,-73.76,68.56,77,64,7.07
231,Tommot,1516394118,RU,58.97,126.27,-35.84,65,48,3.83
232,Vallenar,1516394119,CL,-28.58,-70.76,72.25,67,0,3.0
233,Airai,1516394119,TL,-8.93,125.41,69.01,94,56,1.36
234,Cananeia,1516394120,BR,-25.01,-47.93,74.14,100,92,9.75
235,Bredasdorp,1516392000,ZA,-34.53,20.04,71.6,78,92,18.34
236,Carnarvon,1516394081,ZA,-30.97,22.13,65.59,63,0,14.12
237,Dikson,1516394122,RU,73.51,80.55,-11.95,80,0,6.4
238,Igrim,1516394122,RU,63.19,64.42,-2.9,77,80,3.71
239,Qaanaaq,1516393980,GL,77.48,-69.36,-8.3,94,0,6.13
240,San Lazaro,1516392000,BZ,18.04,-88.66,80.6,65,75,11.41
241,Butaritari,1516394066,KI,3.07,172.79,83.73,97,80,20.94
242,Ushuaia,1516392000,AR,-54.81,-68.31,66.2,62,40,32.21
243,Castro,1516393889,CL,-42.48,-73.76,68.56,77,64,7.07
244,Hermanus,1516393975,ZA,-34.42,19.24,65.5,94,88,10.16
